ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,A3_2_Feb12.tif,C1,TRUE,FALSE,58,174,10,570,0.057,0.305
Feb12,A3_2_Feb12.tif,C1.1,FALSE,TRUE,375,1511.7,226.9,3740,0.15,0.404
Feb12,A3_2_Feb12.tif,C1.2,FALSE,TRUE,346,1321.6,176.5,3450,0.134,0.383
Feb12,A3_2_Feb12.tif,C2,TRUE,FALSE,105,317.9,63.6,1040,0.2,0.306
Feb12,A3_2_Feb12.tif,C2.1,TRUE,TRUE,191,531.8,6.3,1900,0.012,0.28
Feb12,A3_2_Feb12.tif,C2.1.1,FALSE,TRUE,137,344.8,47.5,1360,0.138,0.254
Feb12,A3_2_Feb12.tif,C2.1.2,FALSE,TRUE,137,376.6,12.2,1360,0.032,0.277
Feb12,A3_2_Feb12.tif,C2.2,FALSE,TRUE,328,1127.9,116,3270,0.103,0.345
Feb12,A3_2_Feb12.tif,C3,TRUE,FALSE,169,548.1,69.1,1680,0.126,0.326
Feb12,A3_2_Feb12.tif,C3.1,FALSE,TRUE,264,768.8,37.7,2630,0.049,0.292
Feb12,A3_2_Feb12.tif,C3.2,FALSE,TRUE,264,645.1,38.9,2630,0.06,0.245
Feb12,A3_2_Feb12.tif,C4,TRUE,FALSE,144,308.9,13.9,1430,0.045,0.216
Feb12,A3_2_Feb12.tif,C4.1,FALSE,TRUE,289,903.4,9,2880,0.01,0.314
Feb12,A3_2_Feb12.tif,C4.2,FALSE,TRUE,289,776.9,34.1,2880,0.044,0.27
Feb12,A3_2_Feb12.tif,C5,TRUE,FALSE,8,64.3,40.7,70,0.633,0.918
Feb12,A3_2_Feb12.tif,C5.1,TRUE,TRUE,287,1197.3,338.1,2860,0.282,0.419
Feb12,A3_2_Feb12.tif,C5.1.1,FALSE,TRUE,138,475.2,75,1370,0.158,0.347
Feb12,A3_2_Feb12.tif,C5.1.2,FALSE,TRUE,138,505.2,102.8,1370,0.203,0.369
Feb12,A3_2_Feb12.tif,C5.2,TRUE,TRUE,371,1790.2,215.9,3700,0.121,0.484
Feb12,A3_2_Feb12.tif,C5.2.1,FALSE,TRUE,54,138.7,34.4,530,0.248,0.262
Feb12,A3_2_Feb12.tif,C5.2.2,FALSE,TRUE,54,132.9,51.1,530,0.384,0.251
