ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,C10_2_Feb12.tif,C1,TRUE,FALSE,33,103.6,40.5,320,0.391,0.324
Feb12,C10_2_Feb12.tif,C1.1,TRUE,TRUE,132,478.6,72.4,1310,0.151,0.365
Feb12,C10_2_Feb12.tif,C1.1.1,TRUE,TRUE,256,979.2,314.5,2550,0.321,0.384
Feb12,C10_2_Feb12.tif,C1.1.1.1,FALSE,TRUE,12,61.7,8.7,110,0.141,0.561
Feb12,C10_2_Feb12.tif,C1.1.1.2,FALSE,TRUE,12,46.3,17.4,110,0.376,0.421
Feb12,C10_2_Feb12.tif,C1.1.2,FALSE,TRUE,268,864.6,138.6,2670,0.16,0.324
Feb12,C10_2_Feb12.tif,C1.2,TRUE,TRUE,183,630,21.1,1820,0.034,0.346
Feb12,C10_2_Feb12.tif,C1.2.1,FALSE,TRUE,197,902.3,151.7,1960,0.168,0.46
Feb12,C10_2_Feb12.tif,C1.2.2,FALSE,TRUE,217,763.4,204.2,2160,0.268,0.353
Feb12,C10_2_Feb12.tif,C2,TRUE,FALSE,7,16.7,10.5,60,0.629,0.279
Feb12,C10_2_Feb12.tif,C2.1,TRUE,TRUE,149,984.4,45.9,1480,0.047,0.665
Feb12,C10_2_Feb12.tif,C2.1.1,TRUE,TRUE,231,1003.6,203.4,2300,0.203,0.436
Feb12,C10_2_Feb12.tif,C2.1.1.1,FALSE,TRUE,46,122.2,33.8,450,0.277,0.272
Feb12,C10_2_Feb12.tif,C2.1.1.2,FALSE,TRUE,46,121.1,32.3,450,0.267,0.269
Feb12,C10_2_Feb12.tif,C2.1.2,FALSE,TRUE,277,1631.5,293.6,2760,0.18,0.591
Feb12,C10_2_Feb12.tif,C2.2,TRUE,TRUE,129,821.9,145.9,1280,0.178,0.642
Feb12,C10_2_Feb12.tif,C2.2.1,TRUE,TRUE,177,686.1,80.8,1760,0.118,0.39
Feb12,C10_2_Feb12.tif,C2.2.1.1,FALSE,TRUE,120,407.8,158.5,1190,0.389,0.343
Feb12,C10_2_Feb12.tif,C2.2.1.2,FALSE,TRUE,120,395.5,169.2,1190,0.428,0.332
Feb12,C10_2_Feb12.tif,C2.2.2,FALSE,TRUE,191,729.7,311.2,1900,0.427,0.384
Feb12,C10_2_Feb12.tif,C3,TRUE,FALSE,218,729,57.1,2170,0.078,0.336
Feb12,C10_2_Feb12.tif,C3.1,FALSE,TRUE,210,793.4,194.3,2090,0.245,0.38
Feb12,C10_2_Feb12.tif,C3.2,FALSE,TRUE,215,801,364.9,2140,0.455,0.374
Feb12,C10_2_Feb12.tif,C4,TRUE,FALSE,94,336,153.3,930,0.456,0.361
Feb12,C10_2_Feb12.tif,C4.1,TRUE,TRUE,201,658.8,207.9,2000,0.316,0.329
Feb12,C10_2_Feb12.tif,C4.1.1,FALSE,TRUE,112,597.3,183.5,1110,0.307,0.538
Feb12,C10_2_Feb12.tif,C4.1.2,FALSE,TRUE,138,567,40.2,1370,0.071,0.414
Feb12,C10_2_Feb12.tif,C4.2,TRUE,TRUE,213,679.8,102.8,2120,0.151,0.321
Feb12,C10_2_Feb12.tif,C4.2.1,FALSE,TRUE,126,598.4,244.5,1250,0.409,0.479
Feb12,C10_2_Feb12.tif,C4.2.2,FALSE,TRUE,126,599.2,284.8,1250,0.475,0.479
Feb12,C10_2_Feb12.tif,C5,TRUE,FALSE,22,196.4,154.6,210,0.787,0.935
Feb12,C10_2_Feb12.tif,C5.1,TRUE,TRUE,148,1100.8,365.1,1470,0.332,0.749
Feb12,C10_2_Feb12.tif,C5.1.1,TRUE,TRUE,225,1154.6,180.9,2240,0.157,0.515
Feb12,C10_2_Feb12.tif,C5.1.1.1,FALSE,TRUE,38,134,56.6,370,0.422,0.362
Feb12,C10_2_Feb12.tif,C5.1.1.2,FALSE,TRUE,38,163.2,110.2,370,0.675,0.441
Feb12,C10_2_Feb12.tif,C5.1.2,TRUE,TRUE,213,951.9,151.4,2120,0.159,0.449
Feb12,C10_2_Feb12.tif,C5.1.2.1,FALSE,TRUE,50,280.9,207.6,490,0.739,0.573
Feb12,C10_2_Feb12.tif,C5.1.2.2,FALSE,TRUE,50,259,42.4,490,0.164,0.529
Feb12,C10_2_Feb12.tif,C5.2,TRUE,TRUE,122,886.4,267.8,1210,0.302,0.733
Feb12,C10_2_Feb12.tif,C5.2.1,TRUE,TRUE,262,1510.9,77.8,2610,0.052,0.579
Feb12,C10_2_Feb12.tif,C5.2.1.1,FALSE,TRUE,27,79.9,42.1,260,0.527,0.307
Feb12,C10_2_Feb12.tif,C5.2.1.2,FALSE,TRUE,27,94.5,61.2,260,0.648,0.364
Feb12,C10_2_Feb12.tif,C5.2.2,TRUE,TRUE,158,936.5,452,1570,0.483,0.596
Feb12,C10_2_Feb12.tif,C5.2.2.1,FALSE,TRUE,131,680.8,193.3,1300,0.284,0.524
Feb12,C10_2_Feb12.tif,C5.2.2.2,FALSE,TRUE,131,469.9,159.9,1300,0.34,0.361
Feb12,C10_2_Feb12.tif,C6,TRUE,FALSE,5,24.1,12.2,40,0.508,0.601
Feb12,C10_2_Feb12.tif,C6.1,TRUE,TRUE,116,1116.1,297.5,1150,0.267,0.971
Feb12,C10_2_Feb12.tif,C6.1.1,TRUE,TRUE,200,1306.3,113,1990,0.087,0.656
Feb12,C10_2_Feb12.tif,C6.1.1.1,FALSE,TRUE,112,397.3,174,1110,0.438,0.358
Feb12,C10_2_Feb12.tif,C6.1.1.2,FALSE,TRUE,112,438.5,137.7,1110,0.314,0.395
Feb12,C10_2_Feb12.tif,C6.1.2,TRUE,TRUE,137,779.4,330.8,1360,0.424,0.573
Feb12,C10_2_Feb12.tif,C6.1.2.1,FALSE,TRUE,68,430.6,208,670,0.483,0.643
Feb12,C10_2_Feb12.tif,C6.1.2.2,FALSE,TRUE,175,797.6,146.1,1740,0.183,0.458
Feb12,C10_2_Feb12.tif,C6.2,TRUE,TRUE,129,1058.6,352.1,1280,0.333,0.827
Feb12,C10_2_Feb12.tif,C6.2.1,TRUE,TRUE,226,1039,349,2250,0.336,0.462
Feb12,C10_2_Feb12.tif,C6.2.1.1,FALSE,TRUE,12,47.3,28,110,0.592,0.43
Feb12,C10_2_Feb12.tif,C6.2.1.2,FALSE,TRUE,11,61.7,47.7,100,0.773,0.617
Feb12,C10_2_Feb12.tif,C6.2.2,TRUE,TRUE,165,1192.6,130.3,1640,0.109,0.727
Feb12,C10_2_Feb12.tif,C6.2.2.1,FALSE,TRUE,134,792.1,169.8,1330,0.214,0.596
Feb12,C10_2_Feb12.tif,C6.2.2.2,FALSE,TRUE,134,901.6,229.7,1330,0.255,0.678
Feb12,C10_2_Feb12.tif,C7,TRUE,FALSE,103,280.9,40.2,1020,0.143,0.275
Feb12,C10_2_Feb12.tif,C7.1,TRUE,TRUE,98,270.6,86.8,970,0.321,0.279
Feb12,C10_2_Feb12.tif,C7.1.1,FALSE,TRUE,59,126,16.2,580,0.128,0.217
Feb12,C10_2_Feb12.tif,C7.1.2,FALSE,TRUE,186,543.5,86.8,1850,0.16,0.294
Feb12,C10_2_Feb12.tif,C7.2,TRUE,TRUE,119,371.5,66.5,1180,0.179,0.315
Feb12,C10_2_Feb12.tif,C7.2.1,FALSE,TRUE,211,681.3,47.2,2100,0.069,0.324
Feb12,C10_2_Feb12.tif,C7.2.2,FALSE,TRUE,188,727.5,135.9,1870,0.187,0.389
Feb12,C10_2_Feb12.tif,C8,FALSE,FALSE,433,1186.6,144.7,4320,0.122,0.275
Feb12,C10_2_Feb12.tif,C9,TRUE,FALSE,80,253.1,64.3,790,0.254,0.32
Feb12,C10_2_Feb12.tif,C9.1,TRUE,TRUE,279,770.6,73.8,2780,0.096,0.277
Feb12,C10_2_Feb12.tif,C9.1.1,FALSE,TRUE,74,171.3,31,730,0.181,0.235
Feb12,C10_2_Feb12.tif,C9.1.2,FALSE,TRUE,74,240.3,156.5,730,0.651,0.329
Feb12,C10_2_Feb12.tif,C9.2,TRUE,TRUE,317,919.4,160.9,3160,0.175,0.291
Feb12,C10_2_Feb12.tif,C9.2.1,FALSE,TRUE,36,90.7,29.2,350,0.322,0.259
Feb12,C10_2_Feb12.tif,C9.2.2,FALSE,TRUE,36,100.5,31.4,350,0.312,0.287
Feb12,C10_2_Feb12.tif,C10,TRUE,FALSE,50,212.5,122.8,490,0.578,0.434
Feb12,C10_2_Feb12.tif,C10.1,FALSE,TRUE,383,1188.3,113.1,3820,0.095,0.311
Feb12,C10_2_Feb12.tif,C10.2,TRUE,TRUE,312,1134.8,152.2,3110,0.134,0.365
Feb12,C10_2_Feb12.tif,C10.2.1,FALSE,TRUE,71,257.9,99.3,700,0.385,0.368
Feb12,C10_2_Feb12.tif,C10.2.2,FALSE,TRUE,71,237.2,163,700,0.687,0.339
