ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,C10_2_Feb12.tif,C1.1,TRUE,TRUE,132,478.6,72.4,1310,0.151,0.365
Feb12,C10_2_Feb12.tif,C1.1.1,TRUE,TRUE,256,979.2,314.5,2550,0.321,0.384
Feb12,C10_2_Feb12.tif,C1.2,TRUE,TRUE,183,630,21.1,1820,0.034,0.346
Feb12,C10_2_Feb12.tif,C2.1,TRUE,TRUE,149,984.4,45.9,1480,0.047,0.665
Feb12,C10_2_Feb12.tif,C2.1.1,TRUE,TRUE,231,1003.6,203.4,2300,0.203,0.436
Feb12,C10_2_Feb12.tif,C2.2,TRUE,TRUE,129,821.9,145.9,1280,0.178,0.642
Feb12,C10_2_Feb12.tif,C2.2.1,TRUE,TRUE,177,686.1,80.8,1760,0.118,0.39
Feb12,C10_2_Feb12.tif,C4.1,TRUE,TRUE,201,658.8,207.9,2000,0.316,0.329
Feb12,C10_2_Feb12.tif,C4.2,TRUE,TRUE,213,679.8,102.8,2120,0.151,0.321
Feb12,C10_2_Feb12.tif,C5.1,TRUE,TRUE,148,1100.8,365.1,1470,0.332,0.749
Feb12,C10_2_Feb12.tif,C5.1.1,TRUE,TRUE,225,1154.6,180.9,2240,0.157,0.515
Feb12,C10_2_Feb12.tif,C5.1.2,TRUE,TRUE,213,951.9,151.4,2120,0.159,0.449
Feb12,C10_2_Feb12.tif,C5.2,TRUE,TRUE,122,886.4,267.8,1210,0.302,0.733
Feb12,C10_2_Feb12.tif,C5.2.1,TRUE,TRUE,262,1510.9,77.8,2610,0.052,0.579
Feb12,C10_2_Feb12.tif,C5.2.2,TRUE,TRUE,158,936.5,452,1570,0.483,0.596
Feb12,C10_2_Feb12.tif,C6.1,TRUE,TRUE,116,1116.1,297.5,1150,0.267,0.971
Feb12,C10_2_Feb12.tif,C6.1.1,TRUE,TRUE,200,1306.3,113,1990,0.087,0.656
Feb12,C10_2_Feb12.tif,C6.1.2,TRUE,TRUE,137,779.4,330.8,1360,0.424,0.573
