ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
PIP-FUCCI,PIP-FUCCI.tif,C1.1,FALSE,TRUE,55,82.2,7.4,270,0.089,0.304
PIP-FUCCI,PIP-FUCCI.tif,C1.2,FALSE,TRUE,45,74.2,7.8,220,0.106,0.337
PIP-FUCCI,PIP-FUCCI.tif,C3.1,TRUE,TRUE,123,178.1,27.7,610,0.156,0.292
PIP-FUCCI,PIP-FUCCI.tif,C3.2,TRUE,TRUE,133,181.2,9.8,660,0.054,0.275
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1,TRUE,TRUE,113,127.2,40.5,560,0.319,0.227
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2,TRUE,TRUE,126,126.7,32,625,0.253,0.203
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1.1,FALSE,TRUE,48,72.9,19.3,235,0.265,0.31
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1.2,FALSE,TRUE,51,74.6,11.1,250,0.148,0.298
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2.1,FALSE,TRUE,56,65,4,275,0.061,0.236
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2.2,FALSE,TRUE,103,141.8,23.7,510,0.167,0.278
PIP-FUCCI,PIP-FUCCI.tif,C3.2.1,FALSE,TRUE,137,248.4,26.1,680,0.105,0.365
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2,TRUE,TRUE,149,224.2,16.1,740,0.072,0.303
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2.1,FALSE,TRUE,4,8.2,7.3,15,0.882,0.55
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2.2,FALSE,TRUE,8,15.9,7.8,35,0.493,0.453
PIP-FUCCI,PIP-FUCCI.tif,C4.1,TRUE,TRUE,103,237.3,20.2,510,0.085,0.465
PIP-FUCCI,PIP-FUCCI.tif,C4.2,TRUE,TRUE,108,203.4,28,535,0.138,0.38
PIP-FUCCI,PIP-FUCCI.tif,C4.1.1,FALSE,TRUE,25,67.2,25,120,0.372,0.56
PIP-FUCCI,PIP-FUCCI.tif,C4.1.2,FALSE,TRUE,33,85.7,16.9,160,0.197,0.535
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1,TRUE,TRUE,125,271,77.4,620,0.286,0.437
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2,TRUE,TRUE,132,225,22.7,655,0.101,0.344
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1.1,FALSE,TRUE,58,115,7.4,285,0.064,0.404
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1.2,FALSE,TRUE,54,103.3,6,265,0.058,0.39
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1,TRUE,TRUE,134,183.4,12.6,665,0.068,0.276
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.2,FALSE,TRUE,158,251,42.7,785,0.17,0.32
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1.1,FALSE,TRUE,19,41.7,9.3,90,0.223,0.464
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1.2,FALSE,TRUE,21,47.7,6,100,0.126,0.477
PIP-FUCCI,PIP-FUCCI.tif,C5.1,TRUE,TRUE,98,134.9,22.5,485,0.166,0.278
PIP-FUCCI,PIP-FUCCI.tif,C5.2,TRUE,TRUE,100,139.6,11.7,495,0.084,0.282
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1,TRUE,TRUE,132,212.7,49.8,655,0.234,0.325
PIP-FUCCI,PIP-FUCCI.tif,C5.1.2,TRUE,TRUE,119,201.6,54.2,590,0.269,0.342
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1.1,FALSE,TRUE,17,52.7,4.4,80,0.083,0.659
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1.2,FALSE,TRUE,77,98.4,39.3,380,0.399,0.259
PIP-FUCCI,PIP-FUCCI.tif,C5.1.2.1,FALSE,TRUE,32,58.3,14,155,0.24,0.376
PIP-FUCCI,PIP-FUCCI.tif,C5.1.2.2,FALSE,TRUE,46,81.6,17.7,225,0.218,0.363
PIP-FUCCI,PIP-FUCCI.tif,C5.2.1,FALSE,TRUE,21,36,12.6,100,0.35,0.36
PIP-FUCCI,PIP-FUCCI.tif,C5.2.2,FALSE,TRUE,27,43.5,8.4,130,0.194,0.334
PIP-FUCCI,PIP-FUCCI.tif,C6.1,TRUE,TRUE,119,207.6,80,590,0.385,0.352
PIP-FUCCI,PIP-FUCCI.tif,C6.2,TRUE,TRUE,249,419.5,7.9,1240,0.019,0.338
PIP-FUCCI,PIP-FUCCI.tif,C6.1.1,TRUE,TRUE,155,255.8,65,770,0.254,0.332
PIP-FUCCI,PIP-FUCCI.tif,C6.1.2,TRUE,TRUE,115,140.9,8.2,570,0.058,0.247
PIP-FUCCI,PIP-FUCCI.tif,C6.1.1.1,FALSE,TRUE,66,130.7,57.4,325,0.439,0.402
PIP-FUCCI,PIP-FUCCI.tif,C6.1.1.2,FALSE,TRUE,54,77.9,15,265,0.193,0.294
PIP-FUCCI,PIP-FUCCI.tif,C6.1.2.1,FALSE,TRUE,106,110.8,34.7,525,0.313,0.211
PIP-FUCCI,PIP-FUCCI.tif,C6.1.2.2,FALSE,TRUE,106,129.1,24.3,525,0.188,0.246
PIP-FUCCI,PIP-FUCCI.tif,C6.2.1,FALSE,TRUE,91,130,57.2,450,0.44,0.289
PIP-FUCCI,PIP-FUCCI.tif,C6.2.2,FALSE,TRUE,91,99.1,6,450,0.06,0.22
PIP-FUCCI,PIP-FUCCI.tif,C7.1,FALSE,TRUE,354,578.9,76.7,1765,0.132,0.328
PIP-FUCCI,PIP-FUCCI.tif,C7.2,TRUE,TRUE,150,177,13,745,0.073,0.238
